;25C;27C;29C;31C;33C;35C;37C;39C;41C;43C;45C;49C;51C
465;0.59021;0.569458;0.551453;0.505371;0.417175;0.397034;0.376892;0.358582;0.299072;0.211792;0.216675;0.21911599999999998;0.220642
466;0.600586;0.567627;0.556946;0.510559;0.41900600000000005;0.397339;0.379333;0.35614;0.300293;0.215454;0.21698;0.217896;0.22033699999999998
467;0.59967;0.5780029999999999;0.5584720000000001;0.5075069999999999;0.422363;0.397034;0.379639;0.35949699999999996;0.300598;0.21087600000000004;0.218506;0.219421;0.22094699999999998
468;0.606384;0.579834;0.5627439999999999;0.511169;0.423279;0.40008499999999997;0.378418;0.359802;0.29998800000000003;0.21453899999999998;0.21911599999999998;0.21911599999999998;0.22033699999999998
469;0.604858;0.579529;0.567932;0.512695;0.423584;0.40008499999999997;0.382385;0.35827600000000004;0.295715;0.214844;0.21911599999999998;0.21728499999999998;0.218506
470;0.608826;0.577393;0.559387;0.505066;0.42144799999999993;0.39855999999999997;0.378723;0.357666;0.29632600000000003;0.21759;0.213623;0.21911599999999998;0.217896
471;0.604858;0.5776979999999999;0.563049;0.509033;0.42266800000000004;0.400391;0.37811300000000003;0.35614;0.30090300000000003;0.214844;0.213623;0.21820100000000003;0.21728499999999998
472;0.6073;0.578918;0.563354;0.512695;0.419922;0.394592;0.375977;0.352478;0.292053;0.20721399999999998;0.213013;0.21606399999999998;0.217896
473;0.602722;0.5776979999999999;0.5639649999999999;0.505981;0.41748;0.395813;0.375977;0.35125700000000004;0.294189;0.207825;0.213013;0.213623;0.21514899999999998
474;0.6002810000000001;0.576782;0.5578609999999999;0.509338;0.415649;0.389404;0.369873;0.349731;0.290222;0.206604;0.20904499999999998;0.21270799999999998;0.215454
475;0.597229;0.5725100000000001;0.55603;0.501709;0.41290299999999996;0.386963;0.368042;0.349426;0.285339;0.207825;0.20874;0.21087600000000004;0.213623
476;0.593262;0.567932;0.552673;0.496216;0.411682;0.386658;0.367737;0.346985;0.283508;0.20233199999999998;0.203552;0.209351;0.20874
477;0.592346;0.561523;0.54657;0.491638;0.41046099999999996;0.382385;0.36743200000000004;0.343933;0.281982;0.20080599999999998;0.201416;0.204468;0.205078
478;0.5856319999999999;0.559692;0.544434;0.48736599999999997;0.39916999999999997;0.375366;0.357056;0.336304;0.276489;0.195923;0.198364;0.202026;0.20263699999999998
479;0.58197;0.557251;0.539856;0.488281;0.404663;0.374146;0.359192;0.333862;0.274048;0.193481;0.198975;0.201721;0.19989
480;0.573425;0.553284;0.533447;0.481567;0.389404;0.368652;0.350037;0.331421;0.26886;0.194702;0.194702;0.196838;0.19927999999999998
481;0.569153;0.544434;0.527954;0.47729499999999997;0.391235;0.368652;0.349121;0.326538;0.266418;0.190125;0.19439700000000001;0.193176;0.194702
482;0.565796;0.542603;0.5212399999999999;0.47180200000000005;0.387268;0.360718;0.346069;0.322266;0.26367199999999996;0.19043;0.190735;0.192261;0.19439700000000001
483;0.5627439999999999;0.531616;0.520325;0.466919;0.383911;0.361023;0.337219;0.31799299999999997;0.258484;0.184631;0.189209;0.18981900000000002;0.19500699999999999
484;0.55603;0.528564;0.5157470000000001;0.457458;0.37384;0.355225;0.335999;0.315247;0.256348;0.18219000000000002;0.181885;0.187683;0.189209
485;0.549927;0.523682;0.505981;0.453796;0.369568;0.352783;0.331726;0.31005900000000003;0.252686;0.177612;0.18096900000000002;0.184937;0.186157
486;0.5386350000000001;0.5212399999999999;0.49865699999999996;0.44647200000000004;0.36438000000000004;0.344543;0.325623;0.303345;0.24597199999999997;0.174561;0.18096900000000002;0.178833;0.180054
487;0.530701;0.506592;0.492554;0.4422;0.358887;0.34179699999999996;0.32043499999999997;0.297852;0.242004;0.173035;0.174561;0.177307;0.178223
488;0.5273439999999999;0.503845;0.490417;0.435486;0.353088;0.334473;0.318298;0.301514;0.239563;0.167542;0.174561;0.176697;0.17486600000000002
489;0.523682;0.492249;0.482788;0.432129;0.350342;0.332336;0.31005900000000003;0.289612;0.235596;0.167236;0.170593;0.17181400000000002;0.171509
490;0.510864;0.490417;0.472412;0.422363;0.34362800000000004;0.326843;0.306396;0.285339;0.23162800000000003;0.166016;0.166321;0.168457;0.169373
491;0.502319;0.480347;0.467834;0.414429;0.335083;0.323181;0.30365;0.282593;0.226135;0.162659;0.165405;0.166931;0.168762
492;0.50415;0.474854;0.458984;0.411987;0.335388;0.315247;0.301819;0.279846;0.221863;0.158386;0.161743;0.164185;0.16449
493;0.491638;0.469055;0.454712;0.408325;0.329285;0.311584;0.297241;0.274353;0.220642;0.15686;0.162354;0.162048;0.162354
494;0.481567;0.454712;0.447083;0.401001;0.324707;0.304871;0.28717;0.27069099999999996;0.21636999999999998;0.153198;0.156555;0.158386;0.159912
495;0.47454799999999997;0.45776400000000006;0.44036899999999995;0.39611799999999997;0.319519;0.301819;0.28625500000000004;0.26306199999999996;0.211182;0.150757;0.153809;0.155029;0.153503
496;0.465088;0.444641;0.43060299999999996;0.387268;0.310974;0.295105;0.278931;0.256958;0.20538299999999998;0.146179;0.150146;0.153198;0.151062
497;0.457153;0.43456999999999996;0.42114300000000005;0.378418;0.306396;0.28625500000000004;0.271301;0.255127;0.202026;0.141907;0.147705;0.149231;0.14801
498;0.45013400000000003;0.428162;0.41259799999999996;0.369263;0.296631;0.28137199999999996;0.26672399999999996;0.248718;0.19531300000000001;0.141907;0.144653;0.144653;0.145264
499;0.436096;0.412292;0.405273;0.361023;0.289612;0.27618400000000004;0.26061999999999996;0.242004;0.19165;0.13855;0.140381;0.142517;0.14221199999999998
500;0.42907700000000004;0.40679899999999997;0.393982;0.355225;0.28656;0.26886;0.25299099999999997;0.23590100000000003;0.184937;0.13336199999999998;0.13610799999999998;0.137024;0.13855
